ticket_id,customer_id,timestamp,channel,issue_type,resolution_time_min,was_resolved
T17632,C100690,26/02/2024 00:00,phone,??,207.0,1.0
T27443,C100657,23/10/2023 00:00,phone,billing,97.0,0.0
T33860,C100214,29/08/2024 00:00,email,general,184.0,1.0
T95142,C101450,2023-01-20 00:00:00,,billing,26.0,0.0
T92414,C100679,23/08/2024 00:00,phone,technical,197.0,1.0
T91400,C100943,2024-10-28 00:00:00,email,,215.0,
T16002,C100862,2021-06-30 00:00:00,phone,,116.0,
T60437,C100531,08/03/2024 00:00,chat,general,52.0,1.0
T49839,C100120,15/06/2021 00:00,whatsapp,??,266.0,
T16465,C100425,08/05/2023 00:00,email,technical,203.0,
T39518,C101331,2024-05-31 00:00:00,chat,,96.0,
T40070,C101059,21/01/2022 00:00,,??,107.0,
T27030,C101237,2022-06-27 00:00:00,phone,technical,152.0,0.0
T56955,C100683,2022-07-10 00:00:00,,billing,225.0,0.0
T96387,C100058,2021-12-28 00:00:00,email,billing,257.0,0.0
T56642,C100002,2024-04-09 00:00:00,whatsapp,,,
T74358,C101159,2023-03-12 00:00:00,whatsapp,billing,149.0,
T38721,C100352,2023-08-02 00:00:00,phone,technical,82.0,1.0
T43154,C101250,2022-06-15 00:00:00,email,,15.0,
T94445,C101011,2021-06-29 00:00:00,whatsapp,??,187.0,1.0
T21374,C100744,19/11/2023 00:00,,??,236.0,1.0
T65643,C100348,2022-10-07 00:00:00,chat,technical,126.0,
T39252,C100225,2021-02-07 00:00:00,whatsapp,billing,114.0,
T54108,C100227,2022-08-19 00:00:00,phone,,35.0,
T46292,C101310,2023-08-31 00:00:00,chat,billing,268.0,
T46552,C101295,23/12/2024 00:00,whatsapp,general,59.0,0.0
T55001,C101486,2024-01-27 00:00:00,chat,??,258.0,0.0
T76111,C100236,2021-01-03 00:00:00,chat,??,186.0,
T33421,C101032,06/12/2023 00:00,phone,general,12.0,0.0
T24668,C100836,17/08/2021 00:00,,billing,28.0,
T60854,C100966,12/07/2022 00:00,whatsapp,,,0.0
T71180,C100740,25/08/2023 00:00,phone,,207.0,0.0
T65202,C100976,2024-10-24 00:00:00,,billing,75.0,
T68465,C101106,2025-01-27 00:00:00,chat,general,44.0,
T25518,C100808,2021-03-18 00:00:00,chat,,202.0,0.0
T51386,C100306,08/11/2021 00:00,email,billing,157.0,
T28534,C100666,2022-08-04 00:00:00,chat,general,111.0,1.0
T52258,C100077,02/08/2024 00:00,chat,general,224.0,0.0
T52812,C100001,2022-10-17 00:00:00,chat,,170.0,
T64070,C100532,25/12/2024 00:00,chat,general,,
T34159,C100897,2022-08-20 00:00:00,whatsapp,technical,299.0,
T73661,C100638,2021-12-26 00:00:00,whatsapp,,230.0,1.0
T77328,C100937,2023-02-13 00:00:00,email,billing,1.0,
T45923,C101365,24/03/2023 00:00,whatsapp,,164.0,1.0
T35542,C101149,2023-10-18 00:00:00,phone,general,126.0,1.0
T46520,C101241,29/01/2025 00:00,chat,general,117.0,1.0
T21484,C101017,17/04/2022 00:00,chat,,172.0,1.0
T57043,C100672,18/05/2021 00:00,phone,billing,165.0,0.0
T70013,C100882,2022-05-29 00:00:00,chat,technical,291.0,0.0
T28130,C100967,2023-05-17 00:00:00,,,,0.0
T73321,C100059,2024-08-18 00:00:00,whatsapp,??,51.0,
T71769,C100990,2024-06-08 00:00:00,whatsapp,technical,,1.0
T44268,C100714,2023-06-01 00:00:00,,technical,160.0,0.0
T90439,C100046,10/09/2022 00:00,phone,general,139.0,1.0
T79484,C100059,2022-05-17 00:00:00,,general,169.0,1.0
T84295,C100794,31/10/2023 00:00,phone,,198.0,1.0
T93788,C101330,2022-02-03 00:00:00,chat,,10.0,1.0
T90604,C100397,2023-08-08 00:00:00,whatsapp,technical,,0.0
T80975,C101401,23/10/2024 00:00,chat,technical,153.0,0.0
T84068,C101206,2021-10-03 00:00:00,,general,67.0,1.0
T47645,C101013,2021-03-29 00:00:00,chat,??,87.0,
T37522,C100668,13/01/2022 00:00,chat,??,46.0,
T58421,C100913,2022-01-29 00:00:00,,??,,1.0
T62143,C100460,04/02/2022 00:00,whatsapp,??,285.0,0.0
T25897,C100282,2021-07-27 00:00:00,whatsapp,general,8.0,0.0
T80337,C100459,2021-06-01 00:00:00,email,billing,128.0,1.0
T13817,C100734,20/10/2024 00:00,phone,billing,200.0,0.0
T88286,C100083,02/09/2022 00:00,chat,general,138.0,1.0
T50281,C101421,07/03/2022 00:00,email,,169.0,
T69967,C100228,04/11/2023 00:00,whatsapp,technical,77.0,
T29564,C100594,19/02/2022 00:00,chat,??,,
T33585,C101374,2022-04-10 00:00:00,phone,,191.0,1.0
T89061,C101045,18/06/2021 00:00,email,,186.0,1.0
T65370,C100910,29/05/2021 00:00,email,technical,22.0,1.0
T63337,C100652,2023-10-01 00:00:00,chat,,293.0,0.0
T66598,C100030,2022-09-06 00:00:00,,technical,68.0,
T88638,C100931,2023-06-29 00:00:00,,general,12.0,
T36071,C100180,2021-03-19 00:00:00,,??,222.0,
T78235,C100587,2023-09-01 00:00:00,chat,??,157.0,1.0
T21165,C100453,22/04/2024 00:00,email,,202.0,
T19557,C100896,2023-07-05 00:00:00,phone,billing,82.0,1.0
T24567,C100770,2024-10-02 00:00:00,chat,,34.0,0.0
T90298,C100506,24/02/2023 00:00,phone,??,113.0,0.0
T43609,C100109,02/12/2022 00:00,,general,88.0,0.0
T73670,C100297,28/07/2022 00:00,email,??,132.0,1.0
T22538,C101108,04/09/2022 00:00,email,technical,82.0,
T63347,C100172,16/06/2023 00:00,phone,technical,166.0,
T57997,C100205,11/06/2021 00:00,,,254.0,1.0
T87237,C100183,2024-12-04 00:00:00,email,??,,0.0
T27112,C100696,30/07/2022 00:00,email,,110.0,0.0
T80086,C101050,2025-01-17 00:00:00,phone,,193.0,0.0
T96754,C101469,2023-07-12 00:00:00,email,billing,155.0,
T23776,C100426,13/07/2022 00:00,phone,technical,231.0,0.0
T33984,C101319,02/01/2023 00:00,chat,technical,53.0,
T95944,C100432,2022-07-22 00:00:00,email,??,128.0,1.0
T91641,C100822,2021-01-26 00:00:00,chat,general,208.0,
T96787,C100914,31/10/2023 00:00,phone,,165.0,1.0
T85727,C100934,2023-04-23 00:00:00,whatsapp,,180.0,
T61360,C100477,2022-08-02 00:00:00,,,95.0,
T87386,C100271,07/06/2024 00:00,whatsapp,??,244.0,0.0
T39085,C100180,2021-08-21 00:00:00,,general,52.0,0.0
T55981,C100602,2022-02-19 00:00:00,phone,general,182.0,0.0
T72428,C100098,06/01/2025 00:00,,technical,84.0,
T23774,C100817,14/01/2021 00:00,,billing,101.0,
T41286,C100544,2021-05-21 00:00:00,whatsapp,billing,184.0,
T87023,C101399,24/12/2021 00:00,email,billing,31.0,0.0
T95153,C101417,26/02/2024 00:00,,technical,178.0,
T96650,C100078,2023-04-22 00:00:00,email,technical,26.0,
T74544,C100211,20/02/2023 00:00,,general,147.0,0.0
T71427,C100086,08/02/2024 00:00,phone,technical,78.0,1.0
T65092,C101046,08/11/2024 00:00,chat,billing,86.0,1.0
T52695,C100853,2022-04-27 00:00:00,chat,,,0.0
T90362,C100572,2023-07-02 00:00:00,phone,billing,177.0,0.0
T73410,C101188,2021-05-05 00:00:00,phone,billing,,1.0
T42898,C100332,07/04/2023 00:00,phone,billing,38.0,1.0
T94491,C101265,08/04/2024 00:00,chat,general,144.0,
T34493,C101112,2021-03-15 00:00:00,email,??,38.0,1.0
T25950,C100318,15/10/2024 00:00,,general,277.0,1.0
T44264,C100474,2021-03-22 00:00:00,chat,,,1.0
T85926,C100644,2024-07-11 00:00:00,chat,,49.0,1.0
T99465,C100939,2021-06-20 00:00:00,whatsapp,??,94.0,
T55290,C101276,2023-10-04 00:00:00,email,??,,
T44003,C101089,04/02/2025 00:00,,,281.0,1.0
T49147,C101333,2021-02-26 00:00:00,email,billing,114.0,0.0
T92976,C100959,2024-02-03 00:00:00,email,technical,88.0,1.0
T13711,C100166,28/12/2022 00:00,email,technical,157.0,
T29882,C101113,2024-01-08 00:00:00,phone,??,250.0,0.0
T11705,C100848,24/02/2023 00:00,,technical,76.0,
T28534,C100033,2023-01-15 00:00:00,phone,billing,72.0,
T17151,C100653,02/02/2022 00:00,,billing,202.0,0.0
T99182,C100277,2024-09-05 00:00:00,phone,billing,45.0,0.0
T65302,C100788,22/11/2023 00:00,whatsapp,??,287.0,0.0
T15174,C100371,12/03/2023 00:00,chat,technical,181.0,0.0
T58792,C100128,2021-05-20 00:00:00,email,billing,197.0,0.0
T60170,C100084,10/12/2024 00:00,email,??,27.0,1.0
T30906,C100087,2021-11-02 00:00:00,phone,??,290.0,0.0
T88521,C100235,13/07/2021 00:00,email,technical,112.0,1.0
T12338,C100658,2024-05-09 00:00:00,,,87.0,
T50319,C100865,2021-02-12 00:00:00,email,billing,221.0,
T17115,C100618,2021-10-04 00:00:00,whatsapp,general,209.0,1.0
T22894,C100844,2023-09-14 00:00:00,whatsapp,,101.0,1.0
T61435,C100054,2021-02-04 00:00:00,,technical,226.0,1.0
T77195,C100211,30/10/2022 00:00,email,billing,176.0,
T52531,C100775,2024-05-26 00:00:00,,billing,,1.0
T30014,C101210,2023-10-08 00:00:00,phone,general,207.0,0.0
T55184,C100250,2024-03-07 00:00:00,chat,billing,213.0,0.0
T38334,C100835,20/06/2021 00:00,,??,105.0,1.0
T16958,C101199,2021-08-19 00:00:00,chat,general,59.0,1.0
T21272,C101469,2024-11-24 00:00:00,email,general,150.0,1.0
T74239,C101241,27/11/2021 00:00,phone,billing,232.0,1.0
T16935,C101360,2022-12-27 00:00:00,chat,billing,87.0,
T26818,C100210,2021-08-17 00:00:00,whatsapp,billing,157.0,
T26192,C101011,2022-10-12 00:00:00,email,??,116.0,0.0
T23814,C101055,2024-09-04 00:00:00,whatsapp,billing,194.0,0.0
T30150,C100056,2021-06-09 00:00:00,whatsapp,,282.0,1.0
T85849,C101396,02/02/2023 00:00,,technical,130.0,1.0
T60903,C100294,2021-04-27 00:00:00,,,39.0,
T36092,C100642,2021-10-14 00:00:00,whatsapp,??,83.0,0.0
T30659,C101364,2024-02-19 00:00:00,,??,155.0,
T34094,C100822,27/05/2021 00:00,email,billing,161.0,0.0
T43093,C100167,12/09/2022 00:00,phone,technical,38.0,0.0
T30665,C100464,2023-08-26 00:00:00,email,billing,232.0,0.0
T28041,C101186,28/03/2021 00:00,phone,??,107.0,
T36269,C100284,2024-06-27 00:00:00,chat,,271.0,0.0
T56411,C100550,24/05/2024 00:00,,technical,136.0,1.0
T18902,C100177,2023-08-29 00:00:00,phone,general,26.0,
T45384,C100119,24/01/2024 00:00,phone,billing,193.0,1.0
T73617,C100094,2023-03-04 00:00:00,chat,,278.0,0.0
T47665,C101301,2022-11-04 00:00:00,whatsapp,??,,1.0
T32335,C100800,2022-06-18 00:00:00,email,??,163.0,
T44016,C101396,2022-04-05 00:00:00,chat,technical,14.0,1.0
T59859,C100698,26/05/2023 00:00,,,1.0,
T21502,C101426,2023-09-20 00:00:00,,,106.0,1.0
T15361,C100135,11/10/2021 00:00,whatsapp,??,227.0,
T42604,C100752,09/11/2023 00:00,,billing,,0.0
T92456,C100016,2023-07-07 00:00:00,phone,??,109.0,1.0
T68244,C101091,08/04/2022 00:00,,general,282.0,1.0
T41528,C101172,10/06/2024 00:00,,billing,6.0,1.0
T20600,C101150,2024-01-27 00:00:00,chat,general,127.0,
T85765,C100410,2022-02-08 00:00:00,,,162.0,0.0
T57197,C100408,2025-01-26 00:00:00,phone,,110.0,0.0
T66874,C100936,2023-04-28 00:00:00,,technical,96.0,
T95914,C101236,2022-03-27 00:00:00,email,??,156.0,0.0
T91651,C101150,2022-10-21 00:00:00,whatsapp,general,22.0,
T81062,C100686,2022-09-05 00:00:00,email,,110.0,1.0
T67511,C100138,2022-09-22 00:00:00,whatsapp,,,0.0
T86127,C101317,2024-09-27 00:00:00,phone,billing,155.0,0.0
T27727,C100785,2024-11-10 00:00:00,email,,255.0,
T52570,C100272,2021-07-12 00:00:00,phone,,209.0,1.0
T84069,C100956,2021-05-21 00:00:00,whatsapp,??,221.0,
T51832,C100676,14/12/2023 00:00,whatsapp,technical,22.0,0.0
T30197,C100836,28/01/2025 00:00,email,general,,0.0
T77095,C101222,2024-08-20 00:00:00,whatsapp,,41.0,
T29392,C100205,2021-07-07 00:00:00,,billing,155.0,0.0
T89697,C101336,2023-11-17 00:00:00,email,technical,172.0,1.0
T41967,C100459,05/04/2023 00:00,whatsapp,technical,218.0,0.0
T80184,C100549,2022-11-25 00:00:00,,billing,153.0,1.0
T26637,C100962,03/07/2022 00:00,,??,115.0,
T35452,C101405,2023-03-05 00:00:00,chat,,105.0,1.0
T89698,C100261,2024-04-05 00:00:00,email,,245.0,0.0
T62673,C100680,2021-01-27 00:00:00,chat,??,106.0,0.0
T70840,C100546,19/07/2022 00:00,email,,28.0,
T84776,C101017,21/01/2021 00:00,chat,,222.0,0.0
T91710,C101182,29/01/2021 00:00,whatsapp,,236.0,0.0
T79065,C100245,14/05/2024 00:00,chat,,89.0,1.0
T14717,C101073,2022-05-23 00:00:00,phone,??,110.0,1.0
T25579,C100316,2024-07-04 00:00:00,phone,,36.0,
T24615,C100290,2024-09-22 00:00:00,email,general,108.0,1.0
T73178,C101441,2023-02-06 00:00:00,phone,billing,82.0,
T63308,C101010,2024-09-05 00:00:00,whatsapp,,,
T85582,C100290,2022-05-17 00:00:00,chat,general,163.0,0.0
T34300,C100607,2025-02-06 00:00:00,whatsapp,general,42.0,
T99394,C100506,19/12/2024 00:00,,??,136.0,0.0
T95016,C100321,2021-06-03 00:00:00,,technical,190.0,0.0
T82213,C100440,11/01/2025 00:00,whatsapp,billing,143.0,
T88131,C100845,2023-04-18 00:00:00,phone,general,197.0,1.0
T10402,C100050,19/10/2024 00:00,email,technical,66.0,
T14099,C100476,2022-09-21 00:00:00,email,general,41.0,0.0
T79691,C100829,2022-07-15 00:00:00,phone,billing,224.0,0.0
T42932,C100626,29/11/2023 00:00,phone,,247.0,0.0
T95120,C100254,2024-02-13 00:00:00,whatsapp,general,252.0,
T17521,C100921,2021-02-21 00:00:00,whatsapp,,106.0,1.0
T39939,C100253,08/12/2021 00:00,chat,??,99.0,1.0
T15756,C100464,16/10/2023 00:00,,technical,283.0,1.0
T87700,C101039,2023-04-12 00:00:00,email,billing,47.0,1.0
T39666,C101254,2022-07-13 00:00:00,phone,??,84.0,0.0
T86594,C101174,31/01/2025 00:00,chat,,86.0,0.0
T89807,C100131,2024-06-01 00:00:00,,technical,65.0,
T76103,C101195,2024-11-28 00:00:00,phone,??,2.0,
T49152,C100945,2022-10-08 00:00:00,,general,174.0,1.0
T18821,C100510,07/05/2024 00:00,whatsapp,general,127.0,0.0
T35711,C100353,2021-11-30 00:00:00,chat,,210.0,0.0
T25763,C100814,2022-11-02 00:00:00,chat,,260.0,
T18818,C101152,2021-11-17 00:00:00,whatsapp,,25.0,0.0
T37589,C100280,2024-04-24 00:00:00,chat,technical,266.0,
T91647,C100500,2022-01-16 00:00:00,email,billing,156.0,0.0
T26968,C100804,2021-10-31 00:00:00,whatsapp,billing,38.0,
T65316,C101095,2022-11-21 00:00:00,,technical,207.0,0.0
T15563,C100752,07/01/2022 00:00,phone,??,54.0,0.0
T31064,C100281,05/03/2021 00:00,,general,292.0,
T99866,C101000,2021-09-03 00:00:00,chat,billing,258.0,
T14936,C100531,2022-08-14 00:00:00,whatsapp,,206.0,1.0
T65255,C100500,2023-10-13 00:00:00,,??,259.0,0.0
T83611,C100512,2022-06-14 00:00:00,phone,,236.0,1.0
T98552,C100147,15/03/2023 00:00,phone,general,108.0,1.0
T33271,C101434,12/09/2023 00:00,email,,8.0,
T48762,C100267,02/08/2021 00:00,email,??,198.0,1.0
T86818,C101206,20/04/2024 00:00,whatsapp,general,,1.0
T15520,C100010,03/12/2023 00:00,email,??,217.0,1.0
T86409,C100016,09/01/2024 00:00,email,??,140.0,
T12043,C101108,2023-04-10 00:00:00,whatsapp,general,284.0,
T62449,C100611,2022-06-15 00:00:00,chat,billing,179.0,0.0
T68492,C100333,19/04/2024 00:00,chat,general,259.0,
T84835,C101440,25/02/2023 00:00,chat,,236.0,1.0
T90845,C101395,2022-06-13 00:00:00,,billing,122.0,0.0
T37370,C100142,18/05/2023 00:00,email,technical,283.0,1.0
T47844,C101459,2022-11-22 00:00:00,whatsapp,??,49.0,0.0
T19273,C101232,2021-08-01 00:00:00,chat,??,206.0,1.0
T22072,C101485,2023-06-15 00:00:00,whatsapp,billing,4.0,
T10799,C101398,22/12/2022 00:00,phone,,47.0,
T30647,C101038,26/07/2021 00:00,,technical,31.0,
T33478,C100366,2022-07-05 00:00:00,chat,??,236.0,0.0
T99828,C100966,07/12/2023 00:00,,billing,205.0,0.0
T55071,C101484,2023-03-01 00:00:00,whatsapp,technical,26.0,1.0
T87979,C100346,2021-10-07 00:00:00,chat,,168.0,1.0
T73158,C100835,2023-11-16 00:00:00,whatsapp,billing,245.0,1.0
T89080,C101128,2024-12-14 00:00:00,email,billing,211.0,0.0
T34626,C101069,2022-04-06 00:00:00,chat,general,218.0,0.0
T79195,C100080,2021-01-13 00:00:00,whatsapp,general,240.0,0.0
T84751,C100456,06/05/2022 00:00,chat,??,276.0,
T16293,C101497,2023-04-26 00:00:00,phone,billing,49.0,
T41088,C100591,2024-12-23 00:00:00,phone,general,,0.0
T79436,C100052,16/02/2021 00:00,,technical,28.0,
T98625,C100840,06/06/2024 00:00,chat,??,28.0,0.0
T77024,C100012,2024-10-29 00:00:00,,,238.0,
T87908,C100722,2021-04-23 00:00:00,whatsapp,technical,109.0,
T59005,C100866,2023-05-21 00:00:00,email,general,202.0,1.0
T10767,C100388,01/07/2021 00:00,phone,general,273.0,
T62003,C101116,2024-03-07 00:00:00,chat,??,99.0,1.0
T62401,C101241,24/09/2021 00:00,phone,,7.0,1.0
T23963,C101138,2024-06-03 00:00:00,phone,billing,257.0,
T57846,C100863,10/02/2024 00:00,phone,,,1.0
T58705,C101060,18/06/2024 00:00,,??,241.0,
T96785,C100477,12/08/2024 00:00,chat,,164.0,
T25317,C100377,2024-05-11 00:00:00,chat,technical,271.0,1.0
T77548,C100422,31/07/2021 00:00,whatsapp,,229.0,
T53142,C100647,2023-05-25 00:00:00,chat,billing,211.0,0.0
T85851,C101353,19/07/2023 00:00,email,,215.0,
T96301,C100492,2024-06-05 00:00:00,email,??,,
T20751,C101349,2021-08-19 00:00:00,whatsapp,technical,234.0,1.0
T18868,C100016,2023-04-17 00:00:00,chat,??,116.0,0.0
T32187,C100020,2024-12-15 00:00:00,chat,,220.0,
T39759,C100973,30/11/2023 00:00,whatsapp,??,104.0,0.0
T47825,C101296,2023-09-07 00:00:00,whatsapp,billing,262.0,0.0
T83064,C101063,2024-05-04 00:00:00,email,??,165.0,1.0
T92725,C101178,2021-08-30 00:00:00,email,general,91.0,0.0
T37707,C100719,26/02/2021 00:00,chat,billing,236.0,
T74374,C100345,2023-07-16 00:00:00,chat,??,11.0,1.0
T85885,C100714,15/12/2024 00:00,phone,??,274.0,1.0
T85562,C101309,18/03/2022 00:00,email,??,52.0,1.0
T77914,C100842,2023-02-18 00:00:00,whatsapp,,227.0,
T74342,C101067,2021-11-28 00:00:00,chat,billing,286.0,0.0
T34102,C100460,13/07/2024 00:00,whatsapp,technical,26.0,
T21953,C100265,15/11/2022 00:00,whatsapp,,97.0,0.0
T19208,C100820,11/03/2024 00:00,whatsapp,technical,82.0,1.0
T80618,C100002,07/02/2024 00:00,chat,,,
T64612,C100417,01/06/2021 00:00,phone,technical,171.0,0.0
T79169,C101086,2022-06-15 00:00:00,,billing,219.0,1.0
T87863,C100376,2021-01-14 00:00:00,chat,billing,137.0,
T98060,C100568,2024-11-24 00:00:00,email,,186.0,0.0
